Comm_ID	Account of relevés	Locations of relevés	Authors	Year of occurances
2733	12	Northern Croatia	Horvat	1963
2734	17	Northern Croatia	Horvat	1963
2735	14	swamp forests wide-spread along oxbows of large rivers	Douda et al. 2015 	n.n.
2735	26	Sava Valley (North- Croatia)	Glavac	1959
2736	2	Swiss Jura from Basel to Genf (Switzerland)	 Lüdi in Ellenberg et Klötzli 1972	1922
2736	1	Swiss Jura from Basel to Genf (Switzerland)	Bardet in  in Ellenberg et Klötzli 1972	1966
2736	5	North-west Croatia	Horvat	1938
2736	16	Swiss Jura from Basel to Genf (Switzerland)	J.L. Richard	1961
2736	1	Swiss Jura from Basel to Genf (Switzerland)	J.L. Richard in Ellenberg et Klötzli 1972	1922
2736	30	In Bosnien-Herzegovina (the mountains Crvanj, Cemernica, Jadovnik, Kozara, Majevica, Makljen, Manjaca, Motajica, Starcevica, Trebava, Vlasic)	Stupar et al. 2015	2014
2737	12	Motovun (Istria/North-west Croatia)	Bertovíc	1968
2737	30	South Transdanubia (Hungary)	Borhidi	1962
2737	5	South Transdanubia (Hungary)	Borhidi, Járai-Komlódi	1959
2737	2	Dél-Dunántúl, Belsö-Somogy (Hungary)	Soó 1964	1964
2738	50	South-Transdanubia, hill country of Zselic (Hungary)	Borhidi	1960
2738	50	South-Transdanubia, hill country of Zselic (Hungary)	Borhidi	1962
2738	4	Délnyugat-Dunántúl: Zala, a Dráva, Mura és Kerka mentén (Hungary)	Soó 1964	1964
2739	5	Mecsek Mountains (South-Hungary)	Horvát	1961
2739	6	Visegrád—Szentendrei-hegység, Naszály, Budai-hegység, Gerecse, Vértes, Bakony (Hungary)	Soó 1964	1964
2739	6	Sátor-hegység, Tornai Karszt, Karancs, Naszály, Bükk, Mátra (Hungary)	Soó 1964	1964
2739	1	Mecsek (Hungary)	Soó 1964	1964
2740		Kaltern, Kurtatsch (Province South Tyrol, Italy)	AfF Südtirol	2010
2740	28	SE Alps, Dinaric Alps, High Karst (Slovenia)	Kosir	1962
2741	18	Croatia (low mountain range)	Horvat	1938
2741	8	North-west Croatia	Horvat	1938
2741	17	North-west Croatia	Horvat	1938
2742		Gummer, Kaltern, Oberplanitzing (Province South Tyrol, Italy)	AfF Südtirol	2010
2742	n.n.	Illyrian Dinarides from Slovenia to Albania	Dierschke et Bohn 2004	2004
2742	10	Croatia (low mountain range)	Horvat	1938
2742	23	Vordinaria (Slovenia)	Kosir	1962
2743	4	Mecsek Mountains (South-Hungary)	Borhidi	1962
2743	1	East Serbia	Knapp	1944
2743	1	Mecsek (Hungary)	Soó 1964	1964
2744	9	Piva Valley (Montenegro)	Blecic	1955
2744	12	Delnice (Southwest Croatia)	Glavac	n.n.
2744	6	Southwest Croatia	Horvat	1938
2744	47	Croatia	Horvat	1938
2744	15	Dinarides, Kapela, Velebit (Croatia)	Horvat	1938
2744	5	Albania	Markgraf	1927
2744	17	Pljesivica (Southwest Croatia)	Pelcer	n.n.
2745	7	Piva valley (Montenegro)	Blecic	1958
2745	12	Pljesivica, Velebit (Southwest Croatia)	Horvat	1938
2745	15	Velebit (Croatia)	Horvat	1938
2745	13	Risnjak (Croatia)	Horvat	1938
2745	9	Grmec (Bosnia)	Tregubov	1941
2746	5	Maljen Mountains (West Serbia)	Gajic, Kojic, Ivanovic	1954
2746	12	near Gostovic (southeast Bosnia and Herzegovina)	Krause, Ludwig	1957
2746	13	Zlatibor Mountains (West Serbia)	Pavlovic	1951
2746	6	Western Serbia	Pavlovic, Gajic, Kojic, Ivanovic	1951
2746	18	in the Mokra Gora near Uvac (West Serbia)	Rajevski	1951
2746	n.n.	Lower Austrian alpine eastern edge (Austria)	Wagner	1941
2746	n.n.	Perchtoldsdorfer Heide near Vienna (Lower Austria/Austria)	Wendelberger	1953
2747		Adrian (Province South Tyrol, Italy)	AfF Südtirol	2010
2747	9	in Gorski Kotar (Croatia)	Horvat	1951
2748	10	Mecsek Mountains (South-Hungary)	Borhidi	1962
2748		Romania: in the mountains and hills of south-western Romania (Vâlcan, Mehedinți, Cernei, Almăj, Locvei), in the nemoral zone	Donita et al. 2005	1972-1982
2748		Romania: Vâlcan, Mehedinți, Cernei, Almăj, Locvei	Donita et al. 2005	1972-1982
2748	21	Povlen Mountains (Serbia)	Gajic	1961
2748	11	Ljuljin Mountains (Bulgaria)	Gancev	1964
2748	5	on Stara Planina (Balkan Mountains/Bulgaria)	Grebenscikov	1950
2748	35	Mecsek Mountains (South-Hungary)	Horvát	1959
2748	24	Fruska Gora Mountains (North--Serbia)	Jankovic, Misic	1960
2748	23	on the Suva Planina (East Serbia)	Jovanovic	1955
2748	27	on the Suva Planina (East Serbia)	Jovanovic	1955
2748	13	Avala Mountains (southeast Belgrade/central Serbia)	Jovanovic, Dunjic	1951
2748	10	East Serbia	Knapp	1944
2748	5	Boranje (Western Serbia)	Misic	1956
2748	7	on the Stara Planina (Balkan Mountains/Bulgaria)	Penev	1964
2748	6	Sumadija Mountains (Serbia)	Rudski	1949
2748	2	Mecsek, Tolnai-dombvidék (Hungary)	Soó 1964	1964
2748		Kosmaj Mountains (Serbia)	Stajić et al. 2021	2017
2748	6	Rzana Mountains (Bulgaria)	Valev	1964
2748	16	in the Sumadija (Serbia)	Veljovic	1967
2749	5	Kupa Valley (Southwest Croatia)	Glavac	n.n.
2749	13	Western Croatia	Hovat	1950
2749	4	on the Ostrozub (southeast Serbia)	Jovanovic	1955
2749	8	on the Suva Planina (East-Serbia)	Jovanovic	1955
2750	n.n.	Central Balkan from South-Serbia and North-Macedonia to West-Bulgaria	Dierschke et Bohn 2004	2004
2750	n.n.	Skopska Crna Gora (North Macedonia)	Dzwonko et al. 1999	1999
2750	n.n.	Golak (North Macedonia)	Dzwonko et al. 1999	1999
2750	n.n.	Sar Planina (North Macedonia)	Dzwonko et al. 1999	1999
2750	n.n.	Jakupica Mountain ((North Macedonia)	Dzwonko et al. 1999	1999
2750	n.n.	Bistra Mountain (North Macedonia)	Dzwonko et al. 1999	1999
2750	n.n.	Kitka (North Macedonia)	Dzwonko et al. 1999	1999
2750	n.n.	Karadzica (North Macedonia)	Dzwonko et al. 1999	1999
2750	n.n.	Rudoka (North Macedonia)	Dzwonko et al. 1999	1999
2750	n.n.	Sogovskie (North Macedonia)	Dzwonko et al. 1999	1999
2750	n.n.	Plackovica Mountain (North Macedonia)	Dzwonko et al. 1999	1999
2750	12	Macedonia	Em	1962
2750	14	Povlen Mountains (Serbia)	Gajic	1961
2750	17	Jastrebac Mountains (Central Serbia)	Gajic, Kitic	1967
2750	9	on Stara Planina (Balkan Mountains/Southeast Serbia)	Grebenscikov	1950
2750	8	Rtanj Mountains (Carpathians, East Serbia)	Jovanovic	1955
2750	36	on the Suva Planina (East-Serbia)	Jovanovic	1955
2750	41	Goc Mountains (Central Serbia)	Jovanovic	1959
2751	12	on Suva Planina (East Serbia)	Jovanovic	1955
2752	9	on Ostrozub (Balkan Mountains/Southeast Serbia)	Jovanovic	1967
2752	7	on Stara Planina, eastern flank (Balkan Mountains/Southeast Serbia)	Penev	1956
2753	n.n.	Eastern Serbia, Romania	Fekete	1959
2754	n.n.	valleys on the northeast rim of the Strandza Mountains (Southeast Bulgaria)	Stefanov et al.	1924
2754		Strandzha Mts (Bulgaria)	Tzonev et al. 2006	2006
2755	3	on Mount Olympus (Thessaly/Greece)	Grebenscikov	1956
2756	7	Montenegro	Blecic, Tatic	1957
2756	15	on the Perister (Macedonia)	Em	1962
2757	9	on the Perister (Macedonia)	Em	1962
2758	20	on the Prokletije (Albanian Alps/Eastern Montenegro)	Blecic	1959
2759	5	on the Metochian Prokletije (Albanian Alps/Eastern Montenegro)	Jovanovic	1958
2760	7	on the Metochian Prokletijen (Albanian Alps/Eastern Montenegro)	Jovanovic	1958
2761	12	Ostrovica Mountains (Eastern Serbia?)	Blecic, Tatic	1960
2762	8	on Suva Planina (East-Serbia)	Jovanovic	1955
2762	3	on limestone at Kopaonik (South-Serbia)	Misic, Popovic	1960
2763		Rötenberg (Province South Tyrol, Italy)	AfF Südtirol	2010
2763	5	on serpentine at Kopaonik (South-Serbia)	Misic, Popovic	1960
2764		Langtaufers (Province South Tyrol, Italy)	AfF Südtirol	2010
2764	25	in the subalpine belt of the Krkonoše Mountains. On the Bohemian side of Šumava there are only extrazonal occurrences on boulder scree at altitudes of 1080-1360 m (Česko)	Chytry et al. 2013	1975/2013
2765	8	on the Ljubisnja (Montenegro)	Blecic	1957
2765	8	Piva Valley (Montenegro)	Blecic	1958
2765	20	Bosnia	Fukarek	1956
2765	20	Dinarides (Croatia)	Horvat	1938
2766	5	Crimean Mountains (Ukraine)	Onyshchenko 2009	2009
2767	1	Swiss Jura from Gland to Olten	Dutoit	1934
2767	2	Swiss Jura from Gland to Olten	J.-L. Richard in Ellenberg et Klötzli 1972	1966
2767		In Belgium in the Meuse basin and its tributaries, on the Bajocian cuesta in Lorraine and in the Ardennes (Semois)	Jaquemart et Deschamps 2025	2025
2767	4	Swiss Jura from Gland to Olten	Kuoch	1954
2767	24	Swiss Jura from Gland to Olten	Moor	1952
2767	2	Lviv Region, Maherivske Forestry (Ukraine)	Onyshchenko 2009	2009
2767	1	Skolivski Beskydy National Nature Park (Ukraine)	Onyshchenko 2009	2009
2767	11	Small areas on the Rhine valley slope and on Eschner Berg (Liechtenstein) 	Schmider et Burnand 1988	1988
2767	5	Tornai Karszt, Bükk, Naszály, Vértes, Bakony  (Hungary)	Soó 1964	
2768	34	along slowly running streams in submontane to montane areas across the country (Česko)	Chytry et al. 2013	1975/2013
2768	3	Skolivski Beskydy National Nature Park (Ukraine)	Onyshchenko 2009	2009
2768	1	Ivano-Frankivsk Region, Verkhovyna District, Zelenske forestry (Ukraine)	Onyshchenko 2009	2009
2768	2	Gorgany Nature Reserve (Ukraine)	Onyshchenko 2009	2009
2768	1	Vyzhnytsky National Nature Park (Ukraine)	Onyshchenko 2009	2009
2769	40	typical of lowland river floodplains (Česko)	Chytry et al. 2013	1975/2013
2769	1	Kyiv, Seriakove forest (Ukraine)	Onyshchenko 2009	2009
2769	1	Volyn Region, Kivertsi District, Tsuman forest, Tsumanske forestry (Ukraine)	Onyshchenko 2009	2009
2769	4	Vinnytsia Region, Koziatyn District, botanical reserve “Sestrynivska Dacha” (Ukraine)	Onyshchenko 2009	2009
2769	1	Khmelnytsky Region, Khmelnytsky District, floodplain of the South Bug (Ukraine)	Onyshchenko 2009	2009
2769	3	Kyiv, Teremky forest (Ukraine)	Onyshchenko 2009	2009
2769	5	Kyiv, botanical reserve “Lisnyky” (Ukraine)	Onyshchenko 2009	2009
2769	4	Chernihiv Region, Korop District, near Vyshenky (Ukraine)	Onyshchenko 2009	2009
2769	3	Ternopil Region, Husiatyn District, Medobory Nature Reserve, Horodnytske forestry (Ukraine)	Onyshchenko 2009	2009
2769	2	Volyn Region, Kivertsi District, Tsuman forest, Sylnenske forestry (Ukraine)	Onyshchenko 2009	2009
2769	2	Kyiv, Volodarske forest (Ukraine)	Onyshchenko 2009	2009
2769	1	Kyiv, Bychok forest (Ukraine)	Onyshchenko 2009	2009
2770	1	Khmelnytsky Region, Iziaslav District, Liutarske forestry (Ukraine)	Onyshchenko 2009	2009
2770	2	Khmelnytsky Region, Shepetivka District, Klymentovytske forestry (Ukraine)	Onyshchenko 2009	2009
2770	1	Ternopil Region, Husiatyn District, Medobory Nature Reserve, Horodnytske forestry (Ukraine)	Onyshchenko 2009	2009
2770	1	Kyiv Region, Bila Tserkva District, floodplain of the Ros’ (Ukraine)	Onyshchenko 2009	2009
2770	1	Sumy Region, Seredyna-Buda District, Desniansko-Starohutsky National Nature Park (Ukraine)	Onyshchenko 2009	2009
2770	2	Kyiv, Holosiyivsky forest (Ukraine)	Onyshchenko 2009	2009
2770	1	"Vinnytsia Region, Koziatyn District, botanical reserve""Sestrynivska Dacha"" (Ukraine)"	Onyshchenko 2009	2009
2771	44	in broad floodplains of lowland rivers in southern Moravia (Česko)	Chytry et al. 2013	1975/2013
2771		Romania: loodplains of certain rivers in in the Western Plain and eastern Romania	Coldea et Ursu 2016	1968-2001
2771		 São Vicente cape (Barrocal Algarvio, Portugal)	Lousa et al. in Rivas-Martinez et al. 1999	1999
2771		Castro Marim (Barrocal Algarvio, Portugal)	Lousa et al. in Rivas-Martinez et al. 1999	1999
2771	3	Berehove District, Otok forest (Ukraine)	Onyshchenko 2009	2009
2771	2	Mukachevo District, Ostrosh forest (Ukraine)	Onyshchenko 2009	2009
2771	1	Mukachevo District, Kozuptovo forest (Ukraine)	Onyshchenko 2009	2009
2771	14	Kisalföld, Szigetköz, Duna mente, Szentendrei-sziget, Drava mente, Somogy, Eszaki Alföld, Bodrog part, Középső Tisza, Körösök, Tisza köze: Turjánvidék, Örjeg, Nyi­rseg,  Eszakkeleten  (Hungary)	Soó 1964	1964
2772	21	widely distributed in southern Bosnien and Herzegovina (Neretva River canyon, Grude, Hamzici, Kravice, Popovo Polje, Posusje)	Stupar et al. 2015	2014
2773	25	River Ribnik valley, River Unac valley, River Vrbas mid-stream valley, Grmec Mt, Manjaca Mt, Mesihovina, Posusje (Bosnien and Herzegovina)	Stupar et al. 2015	2014
2774	35	SW Slovenia (Kras). Herzegovina (the mountains Bijela Gora, Cincar, and Orjen; around Bileca, Gacko, Grude, Posusje, Siroki Brijeg	Stupar et al. 2015	2014
2775	118	Dinaric and Transitional Illyrian-Moesian regions. Croatia, Bosnien and Herzegovina.	Stupar et al. 2015	2014
2776	23	northern Bosnia (Grmec, Kozara, Majevica, Manjaca and Ozren Mts)	Stupar et al. 2015	2014
2777	19	In western Bosnien and Herzegovina in river canyons (Una, Unac, Sana and Vrbas)	Lakušić et Redžić 1991	1991
2778		Kosmaj Mountains (Serbia)	Stajić et al. 2021	2017
2778	87	dry karst fields of western and southern Bosnien and Herzegovina Aržano, Posušje, Trebinje (Lastva, Tuli), Unac River valley, Grmec Mt, Kozara Mt, Pastirevo Mt, Petrovacko Polje, Bileca (Meka Gruda), Posusje, Trebinje (Zupci, Ubli)	Stupar et al. 2015	2014
2779	30	In North-western Bosnien-Herzegovina (the mountains Cemernica, Grmec, Kozara, Manjaca, Starcevica)	Stupar et al. 2015	2014
2780	57	In eastern Bosnien-Herzegovina (Drina River basin (Foča, Goražde, Srebrenica, Ustikolina), northern Bosnien-Herzegovina (the mountains Becanj, Kozara, Krnjin, Ljubić, Motajica and Trebava)	Stupar et al. 2015	2014
2781	9	border area of Italy and Slovenia; western Istria in Croatia;  In southern parts of Bosnien and Herzegovina (near Jablanica) 	Stupar et al. 2015	2014
2782		plains of the middle Ebro (Spain)	Braun-Blanquet, J. & O. de Bolos, 1954	1954
2782		Vélez Blanco, El Gabar (Spain)	Perez Raya et al. 2002	2002
2782		Vélez Blanco, Sierra Larga (Spain)	Perez Raya et al. 2002	2002
2782		Sierra del Oso, El Mancheño (Spain)	Perez Raya et al. 2002	2002
2782		Sierra del Oso, Pena de Simanque (Spain)	Perez Raya et al. 2002	2002
2782		Sierra del Oso, Cerro Jarosa (Spain)	Perez Raya et al. 2002	2002
2782		Sierra del Oso, Collado de la Umbría (Spain)	Perez Raya et al. 2002	2002
2782		Vélez Blanco, Majadal del Cura (Spain)	Perez Raya et al. 2002	2002
2782		Gabaldón, Las Hoyas (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, Collado del Barrancaz (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, La Hoya Gamona (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, Pimentera (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, Cabeza Moya (Spain)	Rodrigez Rojo et al. 2009	2009
2782		 Valverdejo (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, río Cabriel, tramo Embalse Buijoso-Villor (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Alarcón (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos; río Narboneta (Spain)	Rodrigez Rojo et al. 2009	2009
2782		 Valhermoso de la Fuente, arroyo de Valhermoso (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, Hoz del Agua (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, Hoz Cerrada (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Alarcón; Hoces de Alarcón (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, Barranco del Madroño (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, río Mira (Spain)	Rodrigez Rojo et al. 2009	2009
2782		 Enguídanos, ctra. a Cardenete (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Enguídanos, Barranco del Rodeno (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Valverdejo, La Orejuan (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Tébar, Hoya Redonda (Spain)	Rodrigez Rojo et al. 2009	2009
2782		Guadix-Baza (Granada, Spain)	Rodrigez-Ariza et al. 1996	1996
2782		Crete (Greece)	Tsiourlis et al. 2009	2009
2783		valley bottom of Granada (Spain)	Molero Mesa 1999 in Rivas-Martinez et al. 2000	1999
2783		Sierra de María, Proximidades del Collado del Mojonar (Spain)	Perez Raya et al. 2002	2002
2783		Sierra de María, Las Peñicas (Spain)	Perez Raya et al. 2002	2002
2783		Sierra de María, Cerro de Los Faces (Spain)	Perez Raya et al. 2002	2002
2784		Sierra de Alcaraz (Spain)	Martinez Parras et al. 1987	1987
2784		Sierra de Cazorla (Spain)	Martinez Parras et al. 1987	1987
2784		Sierra de Segura (Spain)	Martinez Parras et al. 1987	1987
2784		Collado de las Sabinas (Spain)	Molero Mesa 1999 in Rivas-Martinez et al. 2000	1999
2784		Sierra de María, Proximidades del Alto de la Burrica (Spain)	Perez Raya et al. 2002	2002
2784	2	Sierra de María, Puntal de la Majada Honda (Spain)	Perez Raya et al. 2002	2002
2784		Sierra de María, Proximidades de Portachico (Spain)	Perez Raya et al. 2002	2002
2785		Vado de las Carretas (Spain)	Gomez Mercado et Valle 1990	1990
2785		Santiago de la Espada (Spain)	Gomez Mercado et Valle 1990	1990
2785		Roble Hondo (Spain)	Gomez Mercado et Valle 1990	1990
2785	2	Guadalentin (Spain)	Gomez Mercado et Valle 1990	1990
2785		Entre Nava S. Pedro y Nava de Pablo (Spain)	Gomez Mercado et Valle 1990	1990
2785		Sierra de María, Collado de Los Guardas (Spain)	Perez Raya et al. 2002	2002
2785		Sierra de María, Hoya de las Vigas (Spain)	Perez Raya et al. 2002	2002
2785		Palomas (Spain)	Rivas Martinez 1987	1987
2786		from the Llanos de la Nava up to the Cortijo de los Quejigales (Spain)	Asensi et Garretas 1999 in Rivas-Martinez et al. 1999	1999
2786		La Bolera (Spain)	Gomez Mercado et Valle 1990	1990
2786		Guazalamenco (Spain)	Gomez Mercado et Valle 1990	1990
2786		Burunchel (Spain)	Gomez Mercado et Valle 1990	1990
2786		Valle del Guadalentin (Spain)	Gomez Mercado et Valle 1990	1990
2786		Toril (Spain)	Gomez Mercado et Valle 1990	1990
2786		Canada de Tiscar (Spain)	Gomez Mercado et Valle 1990	1990
2786		Carrada del Utrero (Spain)	Gomez Mercado et Valle 1990	1990
2786		Rio Borosa (Spain)	Gomez Mercado et Valle 1990	1990
2786		Ayo de las Truchas (Spain)	Gomez Mercado et Valle 1990	1990
2786		Sobre el Chorro (Spain)	Gomez Mercado et Valle 1990	1990
2786		Valle del Guadahornillos (Spain)	Gomez Mercado et Valle 1990	1990
2786		Sierra de María, Cerro de Los Faces (Spain)	Perez Raya et al. 2002	2002
2786		Sierra de María, Proximidades del Collado del Mojonar (Spain)	Perez Raya et al. 2002	2002
2786		Sierra de María, Las Peñicas (Spain)	Perez Raya et al. 2002	2002
2787		Carrascal de Alcoi, Font Roja (Spain)	Costa Talens et Soriano Guarinos 1999 in Rivas-Martinez et al. 2000	1999
2787		Sierra del Oso, Estrecho de Santonge (Spain)	Perez Raya et al. 2002	2002
2787		Sierra del Oso,  Proximidades del Cerro Los Tesoros (Spain)	Perez Raya et al. 2002	2002
2787		Vélez Blanco, Penon del Huerto (Spain)	Perez Raya et al. 2002	2002
2787		Vélez Blanco, Serrata Alta (Spain)	Perez Raya et al. 2002	2002
2787		Vélez Blanco, Cerro Gordo (Spain)	Perez Raya et al. 2002	2002
2787		Vélez Blanco, Serrata de Guadalupe (Spain)	Perez Raya et al. 2002	2002
2787		Sierra del Oso, Pena de Simanque (Spain)	Perez Raya et al. 2002	2002
2788		Puerto de los Pilones (Spain)	Asensi et Garretas 1999 in Rivas-Martinez et al. 1999	1999
2788	2	Valle del Gualquivir (Spain)	Gomez Mercado et Valle 1990	1990
2788		Pena Juana (Spain)	Gomez Mercado et Valle 1990	1990
2788		Bco. de Ayo del Valle (Spain)	Gomez Mercado et Valle 1990	1990
2788		Arround Gualquivir a Cabanas (Spain)	Gomez Mercado et Valle 1990	1990
2788		Bco. de la Canal (Spain)	Gomez Mercado et Valle 1990	1990
2788		De la Iruela al Chorro (Spain)	Gomez Mercado et Valle 1990	1990
2788		La Cabrilla (Spain)	Gomez Mercado et Valle 1990	1990
2788	2	Bco. del Infierno (Spain)	Gomez Mercado et Valle 1990	1990
2789		Puerto de los Alamillos (Spain)	Arsensi-Marfil et Diez-Garretas in Rivas-Martinez et al. 1999	1999
2789		 Sierra del Aljibe  (Spain)	Arsensi-Marfil et Diez-Garretas in Rivas-Martinez et al. 1999	1999
2789		Garganta de Puerto Oscuro (Spain)	Arsensi-Marfil et Diez-Garretas in Rivas-Martinez et al. 1999	1999
2789		Alcalá de los Gazules (Cádiz) (Spain)	Arsensi-Marfil et Diez-Garretas in Rivas-Martinez et al. 1999	1999
2789		Puerto de Montejaque (Spain)	Arsensi-Marfil et Diez-Garretas in Rivas-Martinez et al. 1999	1999
2790		Alcalá de los Gazules (Cádiz) (Spain)	Arsensi-Marfil et Diez-Garretas in Rivas-Martinez et al. 1999	1999
2790		Garganta de Puerto Oscuro (Spain)	Arsensi-Marfil et Diez-Garretas in Rivas-Martinez et al. 1999	1999
2790		Sierra del Aljibe  (Spain)	Vila-Vicosa et al. 2015	2015
2791		Praia do Norte da Nazaré (Portugal)	Costa et al. 2000	2000
2791		 S. Lourenço (Portugal)	Costa et al. 2000	2000
2791		Pedro Muel (Portugal)	Costa et al. 2000	2000
2791		Areia Branca (Portugal)	Costa et al. 2000	2000
2791		Praia da Consolação (Portugal)	Costa et al. 2000	2000
2791		Magoito (Portugal)	Costa et al. 2000	2000
2791		S. Julião (Portugal)	Costa et al. 2000	2000
2791		Cabo Raso (Portugal)	Costa et al. 2000	2000
2791		 Praia da Adraga (Portugal)	Costa et al. 2000	2000
2791		 S. Lourenço (Portugal)	Costa et al. 2000	2000
2791		Casal do Seixo (Portugal)	Costa et al. 2000	2000
2791		Praia Azul, Foz do Sizandro (Portugal)	Costa et al. 2000	2000
2791		Tróia Peninsula, Estuário do Sado Nature Reserve. Portugal.	Lousa et al. in Rivas-Martinez et al. 1999	1999
2792		Praia da Adraga (Portugal)	Costa et al. 2000	2000
2792		Cabo Mondego (Portugal)	Costa et al. 2000	2000
2792		Sítio da Nazaré (Portugal)	Costa et al. 2000	2000
2792		Norte da Praia da Areia Branca (Portugal)	Costa et al. 2000	2000
2792		 Casais de S. Lourenço (Portugal)	Costa et al. 2000	2000
2792		 Ursa (Portugal)	Costa et al. 2000	2000
2792		Martinho do Porto (Portugal)	Costa et al. 2000	2000
2792		Magoito (Portugal)	Costa et al. 2000	2000
2792		Ericeira (Portugal)	Costa et al. 2000	2000
2792		Salir do Porto (Portugal)	Costa et al. 2000	2000
2792		 S. Lourenço (Portugal)	Costa et al. 2000	2000
2792		Cabo Carvoeiro (Portugal)	Costa et al. 2000	2000
2792		S. Julião (Portugal)	Costa et al. 2000	2000
2792		 Cabo da Roca (Portugal)	Costa et al. 2000	2000
2792		Mata do Solitario, Serra da Arrábida. Portugal	Lousa et al. in Rivas-Martinez et al. 1999	1999
2793		Somorrostro (Spain)	Loidi et al. 1994	1994
2793		Mundaka (Spain)	Loidi et al. 1994	1994
2793		Ibarrangelua, Laida (Spain)	Loidi et al. 1994	1994
2793		Vale de Oma (Spain)	Loidi et al. 1994	1994
2793		La Presilla, Villasana de Mena (Spain)	Loidi et al. 1994	1994
2793		Gorliz, Elejalde (Spain)	Loidi et al. 1994	1994
2793		Zaramillo (Spain)	Loidi et al. 1994	1994
2793		Axpe-Busturia (Spain)	Loidi et al. 1994	1994
2793		Voto, from Ogarrio to Matienzo (Spain)	Loidi et al. 1994	1994
2793		Sopelana (Spain)	Loidi et al. 1994	1994
2793		Rio de Mena, Merindad de Montija (Spain)	Loidi et al. 1994	1994
2793		Kanala near S. Pedro de Ancarre (Spain)	Loidi et al. 1994	1994
2793		from Butron to Laukiniz (Spain)	Loidi et al. 1994	1994
2793		Islares (Spain)	Loidi et al. 1994	1994
2793		Santona, Monte Buciero (Spain)	Loidi et al. 1994	1994
2793		La Barcenas de Bortedo, Montija (Spain)	Loidi et al. 1994	1994
2793		Guriezo, Cayuso (Spain)	Loidi et al. 1994	1994
2793		Retes de Tudela (Spain)	Loidi et al. 1994	1994
2793		Izpazter (Spain)	Loidi et al. 1994	1994
2793		Ayala, La Blanca (Spain)	Loidi et al. 1994	1994
2793		Mata do Solitario, Serra da Arrábida (Portugal)	Lousa et al. in Rivas-Martinez et al. 1999	1999
2793		Monfragüe Natural Park. Cáceres (Spain)	Lousa et al. in Rivas-Martinez et al. 1999	1999
2794		Carr. a Puertollano (Spain)	Cano et Valle 1990	1990
2794		Rosalejo (Spain)	Cano et Valle 1990	1990
2794		Junquillo (Spain)	Cano et Valle 1990	1990
2794		Risquillo (Spain)	Cano et Valle 1990	1990
2794		Garganta de Valquemado (Spain)	Cano et Valle 1990	1990
2794		Baranco del Fresnedoso (Spain)	Cano et Valle 1990	1990
2794		Arroyo de los Peces (Spain) 	Cano et Valle 1990	1990
2794		on the banks of the river Almonte and the Arroyo de la Vid (Spain)	Lousa et al. in Rivas-Martinez et al. 1999	1999
2794		from Plasencia to Zorita (Spain)	Lousa et al. in Rivas-Martinez et al. 1999	1999
2794		Sierra de Santa Cruz (Spain)	Lousa et al. in Rivas-Martinez et al. 1999	1999
2795		Sierra de Santa Catalina, Serradilla (Spain)	Belmonte 2008	2008
2795		Coto Valero, Torrejón el Rubio (Spain)	Belmonte 2008	2008
2795		Sierra de Monfragüe, Torrejón el Rubio (Spain)	Belmonte 2008	2008
2795		Cruz del Cancho, Serradilla (Spain)	Belmonte 2008	2008
2795		Sierra de Río Frío, Jaraicejo (Spain)	Belmonte 2008	2008
2795		Peña Falcón, Serradilla (Spain)	Belmonte 2008	2008
2795		Garganta del Boquerón, Jaraicejo (Spain)	Belmonte 2008	2008
2795		Umbría del Quejigo, Jaraicejo (Spain)	Belmonte 2008	2008
2795		Umbría de Corchuelas (La Umbría), Torrejón el Rubio (Spain)	Belmonte 2008	2008
2795		Umbría de Río Frío (S. de Piatones) (Spain)	Belmonte 2008	2008
2795		Umbría Sª del Espejo, Torrejón el Rubio,-Jaraicejo (Spain)	Belmonte 2008	2008
2795		Umbría de Monfragüe (Spain)	Belmonte 2008	2008
2795		Sierra de la Fresneda, Toril (Spain)	Belmonte 2008	2008
2795		Prox Camping de Fuencaliente (C. Real) (Spain)	Cano et al. 2004 	2004
2795		Carretera Jabugo-Huelva (Cruce Castano del Robledo km 2, Huelva) (Spain)	Cano et al. 2004 	2004
2795		Castano del Robledo, Huelva (Spain)	Cano et al. 2004 	2004
2795		Sierra de la Garganta (C. Real) (Spain)	Cano et al. 2004 	2004
2795		Prox. Venta del Charco (Cordoba)  (Spain)	Cano et al. 2004 	2004
